id,number,parent_id:id,is_selectable,header
classification_1,1,False,False,"Styrande verksamhet"
classification_2,2,False,False,"Stödjande verksamhet"
classification_3,3,False,False,"Kärnverksamhet"
classification_3_1,1,classification_3,False,"Hantera och utveckla principer för skog och skogsbruk"
classification_3_1_1,1,classification_3_1,True,"Hantera remisser"
classification_3_1_1_2,2,classification_3_1_1,True,"Hantera nationella remisser"
classification_3_1_1_3,3,classification_3_1_1,True,"Hantera regionala och lokala remisser"
classification_3_1_2,2,classification_3_1,True,"Hantera sektorsdialoger"
classification_3_1_3,3,classification_3_1,True,"Hantera regional utveckling (RU)"
classification_3_1_4,4,classification_3_1,True,"Följa upp miljömålen"
classification_3_1_5,5,classification_3_1,True,"Hantera internationell samverkan"
classification_3_1_6,6,classification_3_1,True,"Övrigt inom policyutveckling"
classification_3_2,2,classification_3,False,"Hantera avverkningsärenden"
classification_3_2_1,1,classification_3_2,True,"Hantera anmälan om avverkning"
classification_3_2_2,2,classification_3_2,True,"Hantera ansökan om avverkningstillstånd"
classification_3_3,3,classification_3,False,"Hantera samråd enl 12 kap 6 § Miljöbalken"
classification_3_4,4,classification_3,False,"Hantera tillsyn"
classification_3_5,5,classification_3,False,"Hantera rådgivning"
classification_3_6,6,classification_3,False,"Hantera ekonomiska stöd"
classification_3_7,7,classification_3,False,"Hantera områdesskydd"
classification_3_8,8,classification_3,False,"Producera statistik"
classification_3_9,9,classification_3,False,"Genomföra inventeringar"
classification_3_10,10,classification_3,False,"Geodataförsörjning"
classification_3_11,11,classification_3,False,"Hantera ärenden om spridningstillstånd"
classification_3_12,12,classification_3,False,"Uppdragsverksamhet"
classification_3_12_1,1,classification_3_12,True,"Planera och följ upp uppdragsverksamheten"
classification_3_12_2,2,classification_3_12,True,"Hantera uppdrag"
classification_3_13,13,classification_3,False,"Hantera arbetsmarknadsuppdrag"
classification_3_14,14,classification_3,False,"Hantera kontakter med myndigheter och enskilda"
classification_3_15,15,classification_3,False,"Hantera övrigt inom kärnverksamheten"
