id,classification_id:id,name
type_1,classification_3_12_2,"Uppdragsbekräftelse"
type_2,classification_3_12_2,"Offert"
type_3,classification_3_12_2,"Uppdragsavtal"
type_4,classification_3_12_2,"Anbud"
type_5,classification_3_12_2,"Efterkalkyl"
type_6,classification_3_12_2,"Fakturaunderlag"
type_7,classification_3_12_2,"Förfrågan om uppdrag"
type_8,classification_3_12_2,"Uppdragsbedömningar"
type_9,classification_3_12_2,"Statistikrapporter"
type_10,classification_3_12_2,"Produktkatalog"
type_11,classification_3_12_2,"Fastighetsregister"
type_12,classification_3_12_2,"Kundregister"
type_13,classification_3_12_2,"Reklamationer"
type_14,classification_3_12_2,"Säljbrev"
type_15,classification_3_12_2,"Marknadsplan"
type_16,classification_3_12_2,"Marknadsundersökning"
